No	TELEX	QNC	CHUNOM	ENG
15159	nhaanz	nhân	人|仁|因	to multiply | man; person | cause | kernel; almond | (ph) mucleus | filling (of cake)
15160	nhaanz ais	nhân ái	仁愛	compassionate, humane
15161	nhaanz banr	nhân bản	人本	humanity
15162	nhaanz cachs	nhân cách	人格	personality
15163	nhaanz cachs hoas	nhân cách hóa	人格化	Personify
15164	nhaanz chungr	nhân chủng	人種	Human race
15165	nhaanz chuwngs	nhân chứng	人證	proof witness
15166	nhaanz coongz	nhân công	人工	Manpower, hand
15167	nhaanz daanz	nhân dân	人民	people; country
15168	nhaanz danhz	nhân danh	因名	on behalf of, for the sake of
15169	nhaanz ddaoj	nhân đạo	人道	humanity; humane
15170	nhaanz dduwcs	nhân đức	人德	humane, hunevolent
15171	nhaanz dipj	nhân dịp	因？	on the occasion of
15172	nhaanz duyeenz	nhân duyên	姻緣	Predestined affinity, predestined marital uniom
15173	nhaanz giar	nhân giả	仁者	(cũ) Virtuous people
15174	nhaanz gioongs	nhân giống	因𥠭	(sinh) Multiplication
15175	nhaanz haauj	nhân hậu	仁厚	humane and upright
15176	nhaanz hinhf	nhân hình	人形	Anthropomorphous
15177	nhaanz hoaf	nhân hòa	人和	Uciversal concord, concord among the people
15178	nhaanz hoanf	nhân hoàn	人寰	(cũ) World, eatch
15179	nhaanz huynhz	nhân huynh	仁兄	(cũ, kc) My eldest brother, my friend
15180	nhaanz khaaur	nhân khẩu	人口	population
15181	nhaanz khaaur hocj	nhân khẩu học	人口學	Demography
15182	nhaanz loaij	nhân loại	人類	mankind; humanity; the human kind
15183	nhaanz loaij hocj	nhân loại học	人類學	Anthropology
15184	nhaanz luaanz	nhân luân	人倫	(cũ) Human morality, human ethics
15185	nhaanz luwcj	nhân lực	人力	Manpower
15186	nhaanz mangj	nhân mạng	人命	Human life
15187	nhaanz manx	nhân mãn	人滿	Overpopulation
15188	nhaanz ngaix	nhân ngãi	人？	(cũ) Paramour, lover, sweetheart
15189	nhaanz nghiax	nhân nghĩa	仁義	Benevolence and righteousness
15190	nhaanz ngoonz	nhân ngôn	人言	Arsenolite
15191	nhaanz nhaanr	nhân nhẩn		xem nhăn nhẳn
15192	nhaanz quaanf	nhân quần	人群	(cũ) Human community
15193	nhaanz quar	nhân quả	因果	Cause and effect, relation between cause and effect
15194	nhaanz quyeenf	nhân quyền	人權	Human rights, civil rights
15195	nhaanz sinhz	nhân sinh	人生	Human life, human livelihood
15196	nhaanz sinhz quanz	nhân sinh quan	人生觀	Outlook on life
15197	nhaanz taamz	nhân tâm	人心	Man's heart
15198	nhaanz taif	nhân tài	人才	Talent, talented man
15199	nhaanz taoj	nhân tạo	人造	artificial; made by the art of man
15200	nhaanz tieenj	nhân tiện	因便	On the same occasion
15201	nhaanz tinhf	nhân tình	人情	mutual feeling between men | (cũ) như nhân ngãi
15202	nhaanz tinhs	nhân tính	人性	Humanity
15203	nhaanz tinhs hoas	nhân tính hóa	人性化	Humanize, personify
15204	nhaanz toos	nhân tố	因素	Factor
15205	nhaanz trungz	nhân trung	人中	Philtrum
15206	nhaanz tuwf	nhân từ	仁慈	clement
15207	nhaanz vaatj	nhân vật	人物	personality | Character
15208	nhaanz vawnz	nhân văn	人文	Human culture, human civilization
15209	nhaanz vieenz	nhân viên	人員	personnel; staff ; member
15210	nhaanz vif	nhân vì	因𫞟	For that reason, therefore, because of the fact that, as
15211	nhaanz vij	nhân vị	人為	For man's interests, for man's sake
15212	nhaapj	nhập	入	Bring in, put in, import | Join; add | Receive
15213	nhaapj cangr	nhập cảng	入港	như nhập khẩu
15214	nhaapj canhr	nhập cảnh	入境	Enter a country, cross the border of a country | Entry, entrance
15215	nhaapj cucj	nhập cục	入局	(khẩu ngữ) Run (things) together, join, merge
15216	nhaapj cuoocj	nhập cuộc	入局	Take part in, be an insider
15217	nhaapj cuwz	nhập cư	入居	Immigrate
15218	nhaapj hocj	nhập học	入學	Begin the school term
15219	nhaapj hooij	nhập hội	入會	Be admited to in association
15220	nhaapj khaaur	nhập khẩu	入口	to import
15221	nhaapj moonz	nhập môn	入門	(cũ) Initiate | Introductory section
15222	nhaapj ngux	nhập ngũ	入伍	to enlist; to join the army
15223	nhaapj nhaf nhaapj nhawngf	nhập nhà nhập nhằng		xem nhập nhằng (láy)
15224	nhaapj nhawngf	nhập nhằng		Show confusion | Ambiguous case
15225	nhaapj nhemf	nhập nhèm		Dim, dusky
15226	nhaapj nhoangj	nhập nhoạng		Twilight, duck
15227	nhaapj nooij	nhập nội	入内	Introduce, acclimatize, naturalize
15228	nhaapj quanz	nhập quan	入棺	Lay out, lay (a corpse) in a coffin
15229	nhaapj quoocs tichj	nhập quốc tịch	入國籍	Naturalize, become naturalized
15230	nhaapj quyx	nhập quỹ	入櫃	Encash, make an entry to the cash
15231	nhaapj sieeuz	nhập siêu	入超	Trade deficit
15232	nhaaps	nhấp		cũng nói dấp Wet
15233	nhaaps giongj	nhấp giọng	？喠	Take a sip
15234	nhaaps nhanhs	nhấp nhánh		như lấp lánh
15235	nhaaps nhays	nhấp nháy		Wink, blink, flicker
15236	nhaaps nhemz	nhấp nhem		weak and intermittent
15237	nhaaps nhoangs	nhấp nhoáng		như lấp loáng
15238	nhaaps nhoomr	nhấp nhổm		Be on tenterhooks, be anxious
15239	nhaatj baos	nhật báo	日報	daily; daily paper ; daily newspaper
15240	nhaatj dungj	nhật dụng	日用	Necessary for everyday, for everyday usẹ
15241	nhaatj kys	nhật ký	日記	diary; journal
15242	nhaatj leenhj	nhật lệnh	日令	Order of the day
15243	nhaatj nguyeetj	nhật nguyệt	日月	the sun and the moon
15244	nhaatj quyf	nhật quỳ	日葵	(thực vật) Sunflower
15245	nhaatj thuwcj	nhật thực	日食	solar eclipse
15246	nhaatj trinhf	nhật trình	日程	(cũ) Daily [newspaper]
15247	nhaatj tungj	nhật tụng	日誦	Daily (prayer)
15248	nhaatj xaj	nhật xạ	日射	Solar radiation
15249	nhaats	nhất	一	
15250	nhaats ddans	nhất đán	一旦	One day suddenly
15251	nhaats ddawngr	nhất đẳng	一等	(cũ) First | class, first | grade, first | rate
15252	nhaats ddinhj	nhất định	一定	to decide; to determine
15253	nhaats giaps	nhất giáp	一甲	(cũ) First grade (doctorate)
15254	nhaats hangj	nhất hạng	一項	Superlatively
15255	nhaats laf	nhất là	一𪜀	First and foremost, in the first place, especially
15256	nhaats lamx	nhất lãm	一覽	(cũ) At a glance
15257	nhaats loatj	nhất loạt	一？	All and sundry, one and all
15258	nhaats luaatj	nhất luật	一律	All and sundry
15259	nhaats muwcj	nhất mực	一？	Steadfastly, persistently (nói về việc từ chối)
15260	nhaats nguyeenz	nhất nguyên	一元	Monogenetic
15261	nhaats nguyeenz luaanj	nhất nguyên luận	一元論	Monism
15262	nhaats quans	nhất quán	一貫	consistant
15263	nhaats quyeets	nhất quyết	一決	determined, resolute
15264	nhaats sinhz	nhất sinh	一生	All one's life
15265	nhaats taamz	nhất tâm	一心	(cũ; ít dùng) Be of one mind, be unanimous
15266	nhaats teef	nhất tề	一齊	To a man
15267	nhaats thaanf giaos	nhất thần giáo	一神教	Monotheism
15268	nhaats thieets	nhất thiết	一切	Absolutely necessary, imperative
15269	nhaats thoongs	nhất thống	一統	(cũ) Unify, bring together into one whole (system...)
15270	nhaats thowif	nhất thời	一時	Temporarily, transiently
15271	nhaats tris	nhất trí	一致	unanimous ; in chorus
15272	nhaats vieenj chees	nhất viện chế	一院制	(chính trị) Monocameralism
15273	nhaauj	nhậu		to drink wine
15274	nhaauj nhetj	nhậu nhẹt		(địa phương) Booze
15275	nhaauz nhaauz	nhâu nhâu		Rush (run) in a pack
15276	nhaayf	nhầy		Sticky, slimy
15277	nhaayf nhaayf	nhầy nhầy		xem nhầy (láy)
15278	nhaayf nhuaj	nhầy nhụa		Slimy, slippery with slush
15279	nhaayj	nhậy		Moth
15280	nhaayr	nhẩy		Jump | Get oneself promoted rapidly and illegitimately to the presidency | Dance | Cover | skip
15281	nhaayx	nhẫy		Shiny as with grease
15282	nhaayz	nhây		Lengthy | As if with a saw
15283	nhaayz nhaayz	nhây nhây		xem nhây (láy)
15284	nhaayz nhowts	nhây nhớt		Snotty all over
15285	nhachs	nhách		Leathery
15286	nhacj	nhạc	樂|嶽	Music
15287	nhacj coongz	nhạc công	樂工	Professional executant
15288	nhacj cuj	nhạc cụ	樂具	Musical instrument | VIETNAMESE TRADITIONAL MUSICAL INSTRUMENTS: Vietnamese traditional instruments have a rich capacity for expression and are unique. This is shown in many ways. In general, Vietnamese traditional instruments are of simple structure. Sometimes too simple to be called instruments. For example, the leaf | horn has only two requirements: The surface of the leaf should be smooth and the leaf itself not thick. A girl holds the "horn" by the edge in her mouth and begins to produce a shrill sound. After a "performance," the instrument can be thrown away. The jew's harp is only a piece of kouniak or ear of rice. Pitot, another flute, has only two holes | one for blowing and the other for fingering | but it can produce music written from the five | note scale. Castanets are simply two bamboo pieces; a bamboo end can become a split drum; a set of kouniak sticks of various lengths serves as a t'rung. Materials for making these instruments are available at home. The worm's silk will make strings and bamboo, kouniak and gourd covering is available in the garden. Further afield can be found bamboo, kouniak, wood, clay, leather, stonẹ.. Only the parts of instruments are difficult to make. For example, with an organ the trick is to stick a reed into one end for blowing. But simple or not, these instruments are so skilfully made as to be works of art. Their sizes are also unique. Clappers can be as small as a longan kernel; the jew's harp is exactly like an ear of rice; a certain drum is no bigger than a lemon. Other instruments are huge. The lithophone, or Ndut Lieng Krak, is 01.7cm long and the Khánh Sơn 103cm while lithophones found in other parts of the world are only 80cm long. The Qui Dien bell, cast in 1080 in the times of Nhà Hậu Lý and Nhà Trần, needed a 26 meter | high bell tower to house it. Another bell of the same period was cast in about 4,200 tonnes of bronze. The Van Ban bell with 180 tons in weight, made under Nhà Trần, is 127cm high and has a diameter 74 cm. The bronze drum, especially the Son Dong drum, is huge, imposing and beautiful. The Thunder drum, which sounds like thunder, has a 148 cm diameter and is 170 cm high Some drums have a circumference of two metres and are made from the trunk of a banyan tree. Gongs and cymbals range from saucer | size to a plate 90cm in diameter. The different sizes mean that Vietnamese traditional instruments all carry characteristics stemming from the artistic creativity of the people.=The đàn nguyệt, moon | shaped lute, and đàn dây, lute, both have high+frets and strings which are never too tight | and not without reason. The strings must be made from worm's thread and the strings and frets are made longer and higher so that the musician can use luring and stressing techniques. The traverse flute, the end | blown flute, the Vietnamese trumpet, the pi | let, the xa | ra | nai | traditional instruments of various ethnic groups | all have plain finger holes without finger devices so that the musician is free to use luring and stressing techniques. The Sing Tien | a type of clapper | is a very simple instrument, but a really creative combination of three well | known instruments: The guiro, the maracas and castanets. All these instruments have made their contributions to traditional Vietnamese music. But the instruments designed so long ago suffer some limitations. One of these is low volume. With the exception of idiophones, membranophones and some wind instruments, almost all traditional instruments make a low sound with short vibrations | Nevertheless, their capacity is both abundant and unique. On the đàn nguyệt, the musician is able to "stress" a note making it a triple | interval higher note or vice versa. The đàn dây, a type of lute, also has available a "loose stress" and on the đàn bầu, monocord, a half | note, a third of a note, a quarter of a note and perhaps even less than a quarter of a note can be created. An even more subtle characteristic of the monocord is that the fingered string, touched, can produce a note lower than that made by the unfingered string. This cannot be done on any other instruments. The one | stringed monocord has a three | octave range, although some improved monocords have a four | octave range. The klongput makes sound without being touched by the musician Another technique worthy of study is that which allows musicians to play such horns as pile and xaranai to make a continuous sound without pausing or stopping. Vietnamese traditional instruments are close to the lives of the people and their activities. Vietnamese instruments | particularly primitive instruments | are part of their activities.=The Thái make the tang bu from bamboo poles and water bags; from pestal and mortar the Mường make the Duong; from sticks to make holes in the ground for sowing, the Khơmu make the Kle Kla; others are the ding pa, klong put of the highlanders; the stones hung over a waterfall to make a sound when struck together and used to drive off beasts gave these groups the inspiration to make the very ancient lithophone; an elevated wicker string above a plank | covered hole is called rong Quan and was the prototype for the fantastic monocord; the Phong Tiêu, a type of flute, which reminds the listener of a kite flute and the To diep, Ky pa are not remote from the highland hunters' beast | calling horn; the never | ending sound of the wind in caves and caverns, or on hills where kouniaks have been felled, served as tangible models for highlanders voong to be hung before the Nhà Rông, or village hall, so that the wind makes a concert throughout the year. The lithophone is both musical instrument and a holy object. The gong and the cymbal are both musical instruments and precious and religious objects. Vietnam's musical instruments spring from real life and were made by creative laborers. The instruments were, and are, crucial to cultural life
15289	nhacj giaz	nhạc gia	岳家	(cũ, trang trọng) in | laws, one's wife'c parents
15290	nhacj hats	nhạc hát	樂？	cũng nói thanh nhạc Vocal music
15291	nhacj khucs	nhạc khúc	樂曲	Pice of music, air
15292	nhacj kichj	nhạc kịch	樂劇	Opera
15293	nhacj maaux	nhạc mẫu	岳母	(cũ, trang trọng) Mother | in | law, one's wife's mother
15294	nhacj nhej	nhạc nhẹ	樂？	Light misic
15295	nhacs	nhác		See all of a sudden | Lazy,slothful
15296	nhaf	nhà	茹	house; home; abode; domicile
15297	nhaf awnz	nhà ăn	茹咹	dining | room, refectory
15298	nhaf bacs hocj	nhà bác học	茹博學	scientist
15299	nhaf baor sanhz	nhà bảo sanh	茹保生	(địa phương) maternity hospital
15300	nhaf baos	nhà báo	茹報	journalist; newsman; newpaperman
15301	nhaf batj	nhà bạt	茹bache	canvas tent
15302	nhaf bawngz	nhà băng	茹banque	(cũ) bank
15303	nhaf beeps	nhà bếp	茹𤇮	kitchen
15304	nhaf bef	nhà bè	茹𦨭	houseboat, floating | house
15305	nhaf binhz	nhà binh	茹兵	(cũ) military
15306	nhaf buoonz	nhà buôn	茹𧶭	Businessman, trader
15307	nhaf caauf	nhà cầu	茹梂	Roofed corridor (between two buildings), gallery
15308	nhaf cais	nhà cái	茹丐	Banker (at a gaiming table) | Person keeping the shares of a ton tine
15309	nhaf chocj trowif	nhà chọc trời	茹？𡗶	Skyscraper
15310	nhaf choongf	nhà chồng	茹𨤯	One's husband's family
15311	nhaf chuaf	nhà chùa	茹？	The Buddhist clergy, buddhist monk
15312	nhaf chungz	nhà chung	茹終	Catholic clergy
15313	nhaf chuwas	nhà chứa	茹？	brothel
15314	nhaf chuwcs trachs	nhà chức trách	茹職責	The authorities
15315	nhaf cuwar	nhà cửa	茹𨷶	House, dwelling
15316	nhaf daayz theps	nhà dây thép	茹𦀊？	(cũ) Post office
15317	nhaf ddams	nhà đám	茹？	Family busy with a bursial, bereaved family
15318	nhaf ddas	nhà đá	茹𥒥	Prison, gaol, jail
15319	nhaf ddenf	nhà đèn	茹畑	(cũ) Urban power | station, urban power | house
15320	nhaf ddoanz	nhà đoan	茹douane	(cũ) Customs | office
15321	nhaf dduwowngz cucj	nhà đương cục	茹當局	the authorities
15322	nhaf dongf	nhà dòng	茹𣳔	Religious order
15323	nhaf duwowis	nhà dưới	茹𠁑	Servants' quarters
15324	nhaf gacs	nhà gác	茹挌	cũng nói nhà lầu. Many | storied house
15325	nhaf gais	nhà gái	茹𡛔	Bride's family | Bride's [family] guest
15326	nhaf gas	nhà gá	茹？	Gambling house owner
15327	nhaf gaz	nhà ga	茹gare	railway | station
15328	nhaf giaiz	nhà giai	茹？	xem nhà trai
15329	nhaf giamz	nhà giam	茹？	Detention prison, detention place
15330	nhaf giaos	nhà giáo	茹教	Teacher, school | master
15331	nhaf giauf	nhà giàu	茹𢀭	Weathly (rich) family | The rich
15332	nhaf haauj leez	Nhà Hậu Lê	茹後黎	Nhà Hậu Lê (Post | Lê Dynasty) was founded by Lê Thái Tổ after the resounding victory over the Ming invaders. Our country was Đại Việt with Đông Kinh (Hà Nội) as royal capital. The feudal centralism had the despotic trends, especially in the second half of the 15th century The economic, political, military, educational and cultural fields were considerably developed. Đại Việt became the powerful nation in Southeast Asia. Confucianism held a more and more important position, while the literature reached the apogee under the reign of Lê Thánh Tôn. Đại Việt defeated Chăm Pa, occupied its royal city and set up the Quảng Nam administrative division. Because of the ruling class' immoderate luxury, Post | Lê Dynasty began to decline since the 17th century. Competition for power between warlords and peasant insurrections broke out everywhere. In 1527, Nhà Mạc (Mạc Dynasty) usurped Nhà Hậu Lệ Under the pretext of restoring Nhà Hậu Lê, Lords Nguyễn and Trịnh sought ways for suppressing Nhà Mạc. Between 1533 and 1788 was the period when Lê passed through renaissance and decline
15333	nhaf hangf	nhà hàng	茹行	restaurant; hotel
15334	nhaf hats	nhà hát	茹？	Theatre, playhouse
15335	nhaf hooj sinhz	nhà hộ sinh	茹護生	Maternity hospital
15336	nhaf inz	nhà in	茹印	printing | house
15337	nhaf khachs	nhà khách	茹客	guest house
15338	nhaf khos	nhà khó	茹𧁷	(địa phương) như nhà đám
15339	nhaf khoz	nhà kho	茹厙	Warehoouse, storehouse
15340	nhaf kinhs	nhà kính	茹鏡	Glasshouse, greenhouse
